symbol,name,date,isEnabled,type,iexId
AFH,Atlas Financial Holdings Inc.,2019-03-26,true,cs,142
AFHBL,Atlas Financial Holdings Inc. 6.625% Senior Unsecured Notes Due 2022,2019-03-26,true,N/A,14579
AFI,Armstrong Flooring Inc.,2019-03-26,true,cs,11150
AFIF,Anfield Universal Fixed Income,2019-03-26,true,N/A,15025
AFIN,American Finance Trust Inc.,2019-03-26,true,cs,14844
AFK,VanEck Vectors-Africa Index,2019-03-26,true,et,143
AFL,AFLAC Incorporated,2019-03-26,true,cs,144
AFMD,Affimed N.V.,2019-03-26,true,cs,8902
AFT,Apollo Senior Floating Rate Fund Inc.,2019-03-26,true,cs,152
AFTY,CSOP FTSE China A50,2019-03-26,true,N/A,9810
AG,First Majestic Silver Corp. (Canada),2019-03-26,true,cs,154
AGCO,AGCO Corporation,2019-03-26,true,cs,157
AGD,Aberdeen Global Dynamic Dividend Fund,2019-03-26,true,cs,158
AGE,AgeX Therapeutics Inc.,2019-03-26,true,cs,15189
AGEN,Agenus Inc.,2019-03-26,true,cs,160
AGF,DB Agriculture Long ETN due April 1 2038,2019-03-26,true,et,161
AGFS,AgroFresh Solutions Inc.,2019-03-26,true,cs,8522
AGFSW,AgroFresh Solutions Inc. Warrants,2019-03-26,true,N/A,8533
AGG,iShares Core U.S. Aggregate Bond,2019-03-26,true,et,162
AGGE,IQ Enhanced Core Bond U.S.,2019-03-26,true,N/A,11327
AGGP,IQ Enhanced Core Plus Bond U.S.,2019-03-26,true,N/A,11328
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,2019-03-26,true,N/A,10278
AGI,Alamos Gold Inc. Class A,2019-03-26,true,cs,10266
AGIO,Agios Pharmaceuticals Inc.,2019-03-26,true,cs,166
AGLE,Aeglea BioTherapeutics Inc.,2019-03-26,true,cs,11213
AGM,Federal Agricultural Mortgage Corporation,2019-03-26,true,cs,168
AGM-A,Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock Series A,2019-03-26,true,ps,169
AGM-B,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,2019-03-26,true,ps,8508
AGM-C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,2019-03-26,true,ps,8903
AGM.A,Federal Agricultural Mortgage Corporation,2019-03-26,true,cs,170
AGMH,AGM Group Holdings Inc.,2019-03-26,true,cs,12923
AGN,Allergan plc,2019-03-26,true,cs,72
AGNC,AGNC Investment Corp.,2019-03-26,true,cs,172
AGNCB,AGNC Investment Corp. Depositary Shares representing 1/1000th Series B Preferred Stock,2019-03-26,true,ps,8623
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,2019-03-26,true,ps,15490
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferre,2019-03-26,true,ps,13319
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative D,2019-03-26,true,N/A,8169
AGO,Assured Guaranty Ltd.,2019-03-26,true,cs,174
AGO-B,Assured Guaranty Ltd.,2019-03-26,true,N/A,175
AGO-E,Assured Guaranty Ltd.,2019-03-26,true,N/A,176
AGO-F,Assured Guaranty Ltd.,2019-03-26,true,N/A,177
AGQ,ProShares Ultra Silver,2019-03-26,true,et,179
AGR,Avangrid Inc.,2019-03-26,true,cs,10927
AGRO,Adecoagro S.A.,2019-03-26,true,cs,180
AGRX,Agile Therapeutics Inc.,2019-03-26,true,cs,8646
AGS,PlayAGS Inc.,2019-03-26,true,cs,13933
AGT,iShares MSCI Argentina and Global Exposure,2019-03-26,true,N/A,12812
AGTC,Applied Genetic Technologies Corporation,2019-03-26,true,cs,8331
AGX,Argan Inc.,2019-03-26,true,cs,182
AGYS,Agilysys Inc.,2019-03-26,true,cs,183
AGZ,iShares Agency Bond,2019-03-26,true,et,184
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Durat,2019-03-26,true,N/A,8170
AHC,A.H. Belo Corporation (TX),2019-03-26,true,cs,187
AHH,Armada Hoffler Properties Inc.,2019-03-26,true,cs,189
AHL-C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,2019-03-26,true,ps,14580
AHL-D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,2019-03-26,true,ps,14581
AHPI,Allied Healthcare Products Inc.,2019-03-26,true,cs,191
AHT,Ashford Hospitality Trust Inc,2019-03-26,true,cs,193
AHT-D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,2019-03-26,true,ps,195
AHT-F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,2019-03-26,true,ps,11628
AHT-G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,2019-03-26,true,ps,12003
AHT-H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,2019-03-26,true,ps,13325
AHT-I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,2019-03-26,true,ps,13823
AI,Arlington Asset Investment Corp Class A (new),2019-03-26,true,cs,198
AI-B,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,2019-03-26,true,ps,12907
AI-C,Arlington Asset Investment Corp 8.250% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,2019-03-26,true,ps,15520
AIA,iShares Asia 50 ETF,2019-03-26,true,et,199
AIC,,2019-03-26,true,N/A,9861
AIEQ,AI Powered Equity,2019-03-26,true,N/A,13582
AIF,Apollo Tactical Income Fund Inc.,2019-03-26,true,cs,201
AIG,American International Group Inc.,2019-03-26,true,cs,202
AIG+,American International Group Inc. Warrant expiring January 19 2021,2019-03-26,true,N/A,7912
AIG-A,American International Group Inc. Depositary Shares Series A,2019-03-26,true,ps,15524
AIHS,Senmiao Technology Limited,2019-03-26,true,cs,13684
AIIQ,AI Powered International Equity,2019-03-26,true,N/A,14714
AIMC,Altra Industrial Motion Corp.,2019-03-26,true,cs,203
AIMT,Aimmune Therapeutics Inc.,2019-03-26,true,cs,10269
AIN,Albany International Corporation,2019-03-26,true,cs,204
AINC,Ashford Inc. (Holding Company),2019-03-26,true,cs,9471
AINV,Apollo Investment Corporation,2019-03-26,true,cs,205
AIPT,Precision Therapeutics Inc.,2019-03-26,true,cs,9594
AIQ,Global X Future Analytics Tech ETF,2019-03-26,true,N/A,14539
AIR,AAR Corp.,2019-03-26,true,cs,207
AIRG,Airgain Inc.,2019-03-26,true,cs,11671
AIRI,Air Industries Group,2019-03-26,true,cs,208
AIRR,First Trust RBA American Industrial Renaissance ET,2019-03-26,true,N/A,8334
AIRT,Air T Inc.,2019-03-26,true,cs,210
AIT,Applied Industrial Technologies Inc.,2019-03-26,true,cs,211
AIV,Apartment Investment and Management Company,2019-03-26,true,cs,212
AIV-A,Apartment Investment and Management Company Preferred Series Class A,2019-03-26,true,ps,8656
